target,amount,is_alliance,voting_pool_override,platform
0x9b237fA1958E3022464343137738926d38815801,330.6821,False,,
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,3975.9959,False,,
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,683.1141,False,,
0x62A66eB9aBf7a788F48D0ce7C0C065df9e09dA19,391.9144,False,,
0x9fdD52eFEb601E4Bc78b89C6490505B8aC637E9f,2487.6038,False,,
0xd5A0Eb558d62780B10Ecc202D0049B89F6145073,619.4498,False,,
0xDbD4dD2d5E0b927022C2be8D493F20e79e60C2e7,448.8181,False,,
0x16b0056636Fcc85f92C49cD49a24bc519d4A1941,2555.486957827974315105210564,,,payment
0xea06e1b4259730724885a39CE3ca670eFB020E26,0.0000,,,beets
